Age,"Total","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Total",3289325,211642,214350,209000,214689,208502,198550,197214,193272,186271,170271,165037,166124,162034,162530,160392,151689,157845,159913
"0-14 years old",210213,16844,15970,15181,15298,14560,13752,12953,12321,11514,10286,9537,9357,9261,8839,8793,8236,8741,8770
"15-19 years old",396757,28849,29135,28627,28719,27142,24978,24625,24672,23823,21200,20553,19860,17807,16829,15649,14592,14901,14796
"20-24 years old",433871,28391,29562,28602,29456,28430,27228,27012,26819,24952,22263,21608,21700,20804,20532,19871,18449,19157,19035
"25-29 years old",333436,22021,21945,20883,21340,20547,19719,19753,19295,18826,17272,16866,17009,16610,16656,16416,15457,16267,16554
"30-34 years old",286422,20107,19998,18928,18985,18387,16874,16712,15997,15349,14028,13799,13944,13876,14022,14100,13376,13901,14039
"35-39 years old",276687,20421,20627,19801,20097,18477,16775,16419,15501,14859,13586,12750,12770,12356,12662,12565,11978,12319,12724
"40-44 years old",277338,18073,18550,18395,19179,18801,18087,17904,17276,16262,14273,13387,13269,12686,12613,12674,11900,12048,11961
"45-49 years old",259141,14819,15224,15166,16073,16193,15804,15824,15842,15389,14576,14039,14112,13870,13420,13008,11757,12093,11932
"50-54 years old",228254,11855,12542,12740,13076,13089,13034,13107,12905,12983,12348,12158,12216,12416,12855,13041,12446,12754,12689
"55-59 years old",176859,8278,8675,8677,9630,9866,9871,10358,10274,10127,9509,9321,9667,9841,10476,10430,10125,10699,11035
"60-64 years old",128474,6094,6383,6339,6567,6789,6801,7007,6960,7050,6865,7000,7321,7564,7718,7768,7723,8029,8496
"65-69 years old",93659,5217,5031,4928,5154,5158,4875,4780,4821,4803,4601,4589,4987,5036,5558,5759,5655,6226,6481
"70-74 years old",72447,4489,4399,4295,4448,4415,4143,4034,3974,3873,3453,3431,3641,3560,3904,3907,3749,4197,4535
"75-79 years old",56756,3477,3450,3419,3561,3357,3374,3392,3256,3172,2874,2846,2947,2920,2923,2990,2802,2918,3078
"80+ years old",59011,2707,2859,3019,3106,3291,3235,3334,3359,3289,3137,3153,3324,3427,3523,3421,3444,3595,3788
